"Northanger Abbey", "Austen, Jane", 1814,"Penguin",18.2
"War and Peace", "Tolstoy, Leo", 1865, "Penguin",12.7
"Anna Karenina", "Tolstoy, Leo", 1875, "Penguin",13.5
"Mrs. Dalloway", "Woolf, Virginia", 1925, "Harcourt Brace",25
"The Hours", "Cunnningham, Michael", 1999, "Harcourt Brace",12.35
"Huckleberry Finn", "Twain, Mark", 1865, "Penguin",5.76
"Bleak House", "Dickens, Charles", 1870, "Random House",5.75
"Tom Sawyer", "Twain, Mark", 1862, "Random House",7.75
"A Room of One's Own", "Woolf, Virginia", 1922,"Penguin",29
"Harry Potter","Rowling, J.K.",2000,"Harcourt Brace",19.95
"One Hundred Years of Solitude","Marquez",1967,"Harper Perennial",14.00
"Hamlet, Prince of Denmark","Shakespeare",1603,"Signet Classics",7.95
"Lord of the Rings","Tolkien, J.R.",1937,"Penguin",27.45

